payoff,network,strategy,strategy_short,mean_barC,std_barC,mean_smax,std_smax,mean_chi,std_chi,Pr_allC,Pr_allD,mean_t_absorb,std_t_absorb
T=1.35,ER_p0.02,TitForTatStrategy,TFT,0.5205,0.056944325880635305,0.5002500000000001,0.06502643693145127,1.0,0.0,0.0,0.0,3000.0,0.0
T=1.35,Grid_20x20,ImitationStrategy,Imitate,0.08207199999999999,0.0336749815515911,0.015315625,0.005699177709327897,2.615565227983203,0.25160153632302357,0.0,0.2,2404.0,1332.6965145898746
T=1.35,Grid_20x20,TitForTatStrategy,TFT,0.5113031906689801,0.2749635833658867,0.0025,,0.0,,0.4,0.4,630.2,1324.759487605203
T=1.35,WS_k8_p0.05,ImitationStrategy,Imitate,0.2681875,0.029185224750719344,,,,,0.0,1.0,4.4,3.286335345030997
T=1.35,WS_k8_p0.05,TitForTatStrategy,TFT,0.44054971988795516,0.22361285457359342,0.09625,0.03712310601229374,13.081919494344643,8.33014600424771,0.2,0.4,1226.4,1619.0739019575356
T=1.40,ER_p0.02,ImitationStrategy,Imitate,0.07352449999999999,0.09449950096429081,0.006530000000000001,0.0015768877575781971,1.2377777777777779,1.0722786398513595,0.0,0.4,1806.8,1633.868782981057
T=1.40,ER_p0.02,TitForTatStrategy,TFT,0.49650000000000005,0.05630136543637286,0.47974999999999995,0.054165544860178313,1.0333333333333334,0.07453559924999315,0.0,0.0,3000.0,0.0
T=1.40,Grid_20x20,ImitationStrategy,Imitate,0.09712626923076924,0.05658598775508117,0.013416666666666669,0.006280669417612533,2.729764320108158,0.6270792485750457,0.0,0.4,1809.2,1630.5714335778118
T=1.40,Grid_20x20,TitForTatStrategy,TFT,0.6100533428165006,0.2151791994931062,0.0025,,0.0,,0.6,0.2,630.0,1324.8703710174818
T=1.40,WS_k8_p0.05,ImitationStrategy,Imitate,0.27168749999999997,0.02469105986992051,,,,,0.0,1.0,5.6,3.286335345030997
T=1.40,WS_k8_p0.05,TitForTatStrategy,TFT,0.5702188675823926,0.231096343756989,0.135,0.007071067811865481,8.83548000208583,0.7226301662248522,0.4,0.2,1227.0,1618.5305063544524
T=1.45,ER_p0.02,ImitationStrategy,Imitate,0.046012750000000005,0.044577425806381396,0.006528333333333334,0.0017339880574367666,0.85,1.2216791722870615,0.0,0.4,1812.8,1625.640550675333
T=1.45,ER_p0.02,TitForTatStrategy,TFT,0.5862499999999999,0.09402875225163845,0.57175,0.09963448825582437,1.088888888888889,0.19876159799998122,0.0,0.0,3000.0,0.0
T=1.45,Grid_20x20,ImitationStrategy,Imitate,0.0736705,0.02520489817227992,0.01344375,0.004310076613781555,2.91013201772702,0.5620029082293287,0.0,0.2,2410.0,1319.2801067248758
T=1.45,Grid_20x20,TitForTatStrategy,TFT,0.5064778239778239,0.1546560964725784,0.0025,0.0,0.0,0.0,0.2,0.2,1815.2,1622.3543694273455
T=1.45,WS_k8_p0.05,ImitationStrategy,Imitate,0.252625,0.00954430458441055,,,,,0.0,1.0,3.2,2.6832815729997477
