payoff,network,strategy,strategy_short,mean_barC,std_barC,mean_smax,std_smax,mean_chi,std_chi,Pr_allC,Pr_allD,mean_t_absorb,std_t_absorb
T=1.60,ER_p0.02,TitForTatStrategy,TFT,0.5765,0.092901998,0.55925,0.102147259,1,0,0,0,3000,0
T=1.60,Grid_20x20,ImitationStrategy,Imitate,0.109118056,0.01260815,,,,,0,1,8.4,0.547722558
T=1.60,Grid_20x20,TitForTatStrategy,TFT,0.59688141,0.234471412,0.0025,,0,,0.6,0.2,630.6,1324.535503
T=1.60,WS_k8_p0.05,ImitationStrategy,Imitate,0.172215278,0.055760324,,,,,0,1,6,3.674234614
T=1.60,WS_k8_p0.05,TitForTatStrategy,TFT,0.49895471,0.205293332,0.081666667,0.018300159,9.51643798,3.07181216,0.2,0.2,1818.8,1617.424867
T=1.65,BA_m4,ImitationStrategy,Imitate,0.1245,0.008169911,,,,,0,1,7,0
T=1.65,BA_m4,TitForTatStrategy,TFT,0.5245,0.040548967,0.483,0.043942434,1,0,0,0,3000,0
T=1.65,ER_p0.02,ImitationStrategy,Imitate,0.096714286,0.052952014,0.0025,,0,,0,0.8,605.6,1338.510291
T=1.65,ER_p0.02,TitForTatStrategy,TFT,0.518,0.099720704,0.49325,0.110055384,1,0,0,0,3000,0
T=1.65,Grid_20x20,ImitationStrategy,Imitate,0.116236111,0.011042939,,,,,0,1,8.2,0.447213595
T=1.65,Grid_20x20,TitForTatStrategy,TFT,0.550666667,0.113294111,0.0025,0,0,0,0.2,0,2407.8,1324.199456
T=1.65,WS_k8_p0.05,ImitationStrategy,Imitate,0.1975,0.060874567,,,,,0,1,4.4,3.286335345
T=1.65,WS_k8_p0.05,TitForTatStrategy,TFT,0.324670878,0.160202254,0.089375,0.036239223,10.72249524,1.764823925,0,0.6,1225,1620.347339
T=1.70,BA_m4,ImitationStrategy,Imitate,0.109517857,0.009945964,,,,,0,1,7.4,0.547722558
T=1.70,BA_m4,TitForTatStrategy,TFT,0.5125,0.050905857,0.48125,0.051893822,1.019047619,0.042591771,0,0,3000,0
T=1.70,ER_p0.02,ImitationStrategy,Imitate,0.068401786,0.060966506,0.0025,0,0,0,0,0.6,1204.6,1638.968517
T=1.70,ER_p0.02,TitForTatStrategy,TFT,0.44475,0.099295959,0.4165,0.109620795,1.047058824,0.105226728,0,0,3000,0
T=1.70,Grid_20x20,ImitationStrategy,Imitate,0.096781475,0.013379437,,,,,0,1,8.4,1.673320053
T=1.70,Grid_20x20,TitForTatStrategy,TFT,0.506749434,0.269500828,0.0025,,0,,0.4,0.4,629.6,1325.095581
T=1.70,WS_k8_p0.05,ImitationStrategy,Imitate,0.196395833,0.082605927,,,,,0,1,4.6,3.577708764
T=1.70,WS_k8_p0.05,TitForTatStrategy,TFT,0.319964412,0.166980702,0.078125,0.000883883,8.84939759,3.450340318,0,0.6,1228.8,1616.910851
T=1.75,BA_m4,ImitationStrategy,Imitate,0.108991071,0.008033457,,,,,0,1,7.2,0.447213595
T=1.75,BA_m4,TitForTatStrategy,TFT,0.47625,0.037007178,0.4315,0.049358383,1,0,0,0,3000,0
T=1.75,ER_p0.02,ImitationStrategy,Imitate,0.093258929,0.051206622,0.0025,,0,,0,0.8,606,1338.286778
T=1.75,ER_p0.02,TitForTatStrategy,TFT,0.47225,0.099173932,0.4495,0.106531245,1.114285714,0.255550626,0,0,3000,0
