payoff,network,strategy,barC,chi_bar,smax_bar,absorbed,absorb_state,t_absorb,n_steps_executed,cluster_samples_json,cluster_sizes_window_json,strategy_short
beta_0.00,WS_k4_p0.1,ImitationStrategy,0.28,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [8, 44, 2, 1, 1]}]",[],Imitate
beta_0.00,WS_k4_p0.1,ImitationStrategy,0.255,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [2, 26, 2, 1, 3, 1, 4, 9, 3]}]",[],Imitate
beta_0.00,WS_k4_p0.1,ImitationStrategy,0.285,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [9, 15, 1, 1, 4, 6, 4, 2, 9, 6]}]",[],Imitate
beta_0.00,WS_k4_p0.1,ImitationStrategy,0.265,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [41, 2, 2, 1, 6, 1]}]",[],Imitate
beta_0.00,WS_k4_p0.1,ImitationStrategy,0.2,,,True,allD,2,2,"[{""t"": 1, ""sizes"": [4, 8, 7, 10, 2, 2, 1, 1, 1, 4]}]",[],Imitate
beta_0.50,Grid_10x10,ImitationStrategy,0.142,,,True,allD,5,5,"[{""t"": 1, ""sizes"": [1, 27, 1, 8, 3, 6, 1]}]",[],Imitate
beta_0.50,Grid_10x10,ImitationStrategy,0.06923076923076923,,,True,allD,13,13,"[{""t"": 1, ""sizes"": [24, 4, 2, 1, 1, 5, 4, 5]}]",[],Imitate
beta_0.50,Grid_10x10,ImitationStrategy,0.07727272727272728,,,True,allD,11,11,"[{""t"": 1, ""sizes"": [32, 2, 8, 1, 1, 1, 4, 1, 2]}]",[],Imitate
beta_0.50,Grid_10x10,ImitationStrategy,0.098,,,True,allD,10,10,"[{""t"": 1, ""sizes"": [15, 1, 1, 22, 9, 6, 1]}]",[],Imitate
beta_0.50,Grid_10x10,ImitationStrategy,0.10857142857142857,,,True,allD,7,7,"[{""t"": 1, ""sizes"": [1, 4, 1, 4, 22, 10, 3, 2, 1, 1]}]",[],Imitate
beta_0.50,Grid_10x10,ImitationStrategy,0.10199999999999998,,,True,allD,5,5,"[{""t"": 1, ""sizes"": [9, 1, 3, 2, 1, 5, 9, 1, 2, 1, 1, 5, 1]}]",[],Imitate
beta_0.50,Grid_10x10,ImitationStrategy,0.088,,,True,allD,10,10,"[{""t"": 1, ""sizes"": [4, 1, 2, 4, 5, 27, 2, 3, 2, 1]}]",[],Imitate
beta_0.50,Grid_10x10,ImitationStrategy,0.1,,,True,allD,5,5,"[{""t"": 1, ""sizes"": [2, 14, 2, 6, 1, 1, 3, 1, 5, 2, 2, 1]}]",[],Imitate
beta_0.50,Grid_10x10,ImitationStrategy,0.13399999999999998,,,True,allD,5,5,"[{""t"": 1, ""sizes"": [3, 6, 9, 1, 1, 7, 1, 1, 1, 12, 1, 1, 2, 1]}]",[],Imitate
beta_0.50,Grid_10x10,ImitationStrategy,0.09428571428571429,,,True,allD,7,7,"[{""t"": 1, ""sizes"": [3, 4, 1, 4, 3, 18, 1, 2, 3, 3, 3, 1]}]",[],Imitate
