network,payoff,strategy,mean_barC,std_barC,Pr_allC,Pr_allD,mean_time_to_absorption,n_runs
WS_k8_p0.5,Default,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.38140583333333333,0.006398516960212236,0.0,0.0,,10
BA_m4,Friend or Foe,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
ER_p0.015,Friend or Foe,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
ER_p0.02,Friend or Foe,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
Grid_20x20,Friend or Foe,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
SBM_2block_mild,Friend or Foe,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
SBM_2block_strong,Friend or Foe,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
WS_k8_p0.01,Friend or Foe,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
WS_k8_p0.1,Friend or Foe,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
WS_k8_p0.5,Friend or Foe,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
BA_m4,Friend or Foe,Fermi(K=0.5),0.10341083333333334,0.15835298245767507,0.0,0.8,248.5,10
ER_p0.015,Friend or Foe,Fermi(K=0.5),0.1332925,0.09678549325428533,0.0,0.3,312.6666666666667,10
ER_p0.02,Friend or Foe,Fermi(K=0.5),0.1076625,0.11114660927737754,0.0,0.4,271.5,10
Grid_20x20,Friend or Foe,Fermi(K=0.5),0.05550750000000001,0.028473724472564285,0.0,0.7,383.2857142857143,10
SBM_2block_mild,Friend or Foe,Fermi(K=0.5),0.14584499999999995,0.15768849827319148,0.0,0.2,296.5,10
SBM_2block_strong,Friend or Foe,Fermi(K=0.5),0.14457083333333334,0.11892792046531253,0.0,0.5,330.2,10
WS_k8_p0.01,Friend or Foe,Fermi(K=0.5),0.205315,0.17935809557288143,0.0,0.3,365.0,10
WS_k8_p0.1,Friend or Foe,Fermi(K=0.5),0.05015666666666666,0.05687105688406987,0.0,0.7,278.2857142857143,10
WS_k8_p0.5,Friend or Foe,Fermi(K=0.5),0.11859333333333333,0.09318292914450917,0.0,0.7,365.14285714285717,10
BA_m4,Friend or Foe,ImitationStrategy,0.004319166666666664,0.002619487303761539,0.0,0.1,18.0,10
ER_p0.015,Friend or Foe,ImitationStrategy,0.013369166666666649,0.006525324657265427,0.0,0.0,,10
ER_p0.02,Friend or Foe,ImitationStrategy,0.005833333333333318,0.00463148111125918,0.0,0.0,,10
Grid_20x20,Friend or Foe,ImitationStrategy,0.023110833333333337,0.008827667688635979,0.0,0.0,,10
SBM_2block_mild,Friend or Foe,ImitationStrategy,0.003333333333333327,0.003908679799852852,0.0,0.4,20.5,10
SBM_2block_strong,Friend or Foe,ImitationStrategy,0.0007499999999999987,0.0009976824997815512,0.0,0.6,20.5,10
WS_k8_p0.01,Friend or Foe,ImitationStrategy,0.0547125,0.016755302850474264,0.0,0.0,,10
WS_k8_p0.1,Friend or Foe,ImitationStrategy,0.018791666666666665,0.006222005204548792,0.0,0.0,,10
WS_k8_p0.5,Friend or Foe,ImitationStrategy,0.004291666666666667,0.00286023449353802,0.0,0.1,24.0,10
BA_m4,Friend or Foe,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.3576324999999999,0.022658408234793738,0.0,0.0,,10
ER_p0.015,Friend or Foe,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.35331666666666667,0.01027800975714177,0.0,0.0,,10
ER_p0.02,Friend or Foe,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.35709416666666666,0.010537963447038114,0.0,0.0,,10
Grid_20x20,Friend or Foe,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.3591958333333334,0.009593522160201205,0.0,0.0,,10
SBM_2block_mild,Friend or Foe,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.35838250000000005,0.009594505122693017,0.0,0.0,,10
SBM_2block_strong,Friend or Foe,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.35505916666666665,0.007828412017914121,0.0,0.0,,10
WS_k8_p0.01,Friend or Foe,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.36136666666666667,0.007096102868894023,0.0,0.0,,10
WS_k8_p0.1,Friend or Foe,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.3560691666666667,0.009419842999202795,0.0,0.0,,10
WS_k8_p0.5,Friend or Foe,"RLStrategy(learning_rate=0.1, epsilon=0.1, initial_q=0.0)",0.36125750000000006,0.0052732282291581235,0.0,0.0,,10
BA_m4,Prisoners,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
ER_p0.015,Prisoners,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
ER_p0.02,Prisoners,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
Grid_20x20,Prisoners,ActionStrategy,0.51425,0.025578039626036827,0.0,0.0,,10
